context,question,answer
Luật Đấu thầu số 22/2023/QH15 Điều 4. Giải thích từ ngữ khoản 9 . Đấu thầu qua mạng là việc thực hiện hoạt động đấu thầu trên Hệ thống mạng đấu thầu quốc gia.,Luật Đấu thầu số 22/2023/QH15 giải thích đấu thầu qua mạng  là gì?,việc thực hiện hoạt động đấu thầu trên Hệ thống mạng đấu thầu quốc gia
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 37. Lập hồ sơ mời thầu khoản 6 . Tiêu chuẩn đánh giá về năng lực và kinh nghiệm; tiêu chuẩn đánh giá về kỹ thuật được áp dụng theo quy định tại các điểm a, b khoản 4 và các điểm a, b khoản 5 Điều 25 của Nghị định này.","Tiêu chuẩn đánh giá về năng lực và kinh nghiệm, tiêu chuẩn đánh giá về kỹ thuật trong hồ sơ mời thầu khoản 6 được áp dụng theo quy định tại các điểm nào trong Nghị định này?","điểm a, b khoản 4 và các điểm a, b khoản 5 Điều 25"
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 69. Mở, kiểm tra và đánh giá hồ sơ đề xuất về tài chính khoản 1 . Việc mở hồ sơ đề xuất về tài chính thực hiện theo quy định tại Điều 43 của Nghị định này.","Theo Nghị định hướng dẫn Luật Đấu thầu, việc mở hồ sơ đề xuất về tài chính được thực hiện theo quy định tại Điều nào?",43
"Luật Đấu thầu số 22/2023/QH15 Điều 14. Bảo đảm dự thầu khoản 9 . Bảo đảm dự thầu không được hoàn trả trong các trường hợp sau đây:  Sau thời điểm đóng thầu và trong thời gian có hiệu lực của hồ sơ dự thầu, nhà thầu, nhà đầu tư rút hồ sơ dự thầu hoặc có văn bản từ chối thực hiện một hoặc các công việc đã đề xuất trong hồ sơ dự thầu theo yêu cầu của hồ sơ mời thầu;  Nhà thầu, nhà đầu tư có hành vi vi phạm quy định tại Điều 16 của Luật này hoặc vi phạm pháp luật về đấu thầu dẫn đến phải hủy thầu theo quy định tại điểm d và điểm đ khoản 1, điểm d và điểm đ khoản 2 Điều 17 của Luật này;  Nhà thầu, nhà đầu tư không thực hiện biện pháp bảo đảm thực hiện hợp đồng theo quy định tại Điều 68 và Điều 75 của Luật này;  Nhà thầu không tiến hành hoặc từ chối thương thảo hợp đồng (nếu có) trong thời hạn 05 ngày làm việc đối với đấu thầu trong nước và 10 ngày đối với đấu thầu quốc tế kể từ ngày nhận được thông báo mời thương thảo hợp đồng hoặc đã thương thảo hợp đồng nhưng từ chối hoàn thiện, ký kết biên bản thương thảo hợp đồng, trừ trường hợp bất khả kháng;  Nhà thầu không tiến hành hoặc từ chối hoàn thiện hợp đồng, thoả thuận khung trong thời hạn 10 ngày đối với đấu thầu trong nước và 20 ngày đối với đấu thầu quốc tế kể từ ngày nhận được thông báo trúng thầu của bên mời thầu, trừ trường hợp bất khả kháng;  Nhà thầu không tiến hành hoặc từ chối ký kết hợp đồng, thoả thuận khung trong thời hạn 10 ngày đối với đấu thầu trong nước và 20 ngày đối với đấu thầu quốc tế kể từ ngày hoàn thiện hợp đồng, thoả thuận khung, trừ trường hợp bất khả kháng;  Nhà đầu tư không tiến hành hoặc từ chối hoàn thiện hợp đồng trong thời hạn 15 ngày đối với đấu thầu trong nước và 30 ngày đối với đấu thầu quốc tế kể từ ngày nhận được thông báo trúng thầu của bên mời thầu, trừ trường hợp bất khả kháng;  Nhà đầu tư không tiến hành hoặc từ chối ký kết hợp đồng trong thời hạn 15 ngày đối với đấu thầu trong nước và 30 ngày đối với đấu thầu quốc tế kể từ ngày hoàn thiện hợp đồng, trừ trường hợp bất khả kháng.","Nhà thầu, nhà đầu tư có hành nào thì vi vi phạm pháp luật về đấu thầu?",không thực hiện biện pháp bảo đảm thực hiện hợp đồng theo quy định tại Điều 68 và Điều 75 của Luật này
"Luật Đấu thầu số 22/2023/QH15 Điều 39. Nội dung kế hoạch lựa chọn nhà thầu khoản 5 . Thời gian tổ chức lựa chọn nhà thầu: Kế hoạch lựa chọn nhà thầu phải nêu rõ thời gian tổ chức lựa chọn nhà thầu và thời gian bắt đầu tổ chức lựa chọn nhà thầu. Thời gian bắt đầu tổ chức lựa chọn nhà thầu được tính từ khi phát hành hồ sơ mời thầu, hồ sơ yêu cầu, được ghi rõ theo tháng hoặc quý trong năm. Trường hợp đấu thầu rộng rãi có áp dụng thủ tục lựa chọn danh sách ngắn, thời gian bắt đầu tổ chức lựa chọn nhà thầu được tính từ khi phát hành hồ sơ mời quan tâm, hồ sơ mời sơ tuyển.","Trường hợp đấu thầu rộng rãi có áp dụng thủ tục lựa chọn danh sách ngắn, thời gian bắt đầu tổ chức lựa chọn nhà thầu được tính từ khi nào?","khi phát hành hồ sơ mời quan tâm, hồ sơ mời sơ tuyển"
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 72. Lựa chọn tư vấn cá nhân khoản 2 . Đối với gói thầu tư vấn cá nhân có giá gói thầu không quá 200 triệu đồng, việc lựa chọn nhà thầu được thực hiện theo quy trình rút gọn quy định tại Điều 75 và Điều 76 của Nghị định này. Đối với gói thầu tư vấn cá nhân có giá gói thầu trên 200 triệu đồng, việc lựa chọn nhà thầu được thực hiện theo quy trình thông thường quy định tại Điều 73 và Điều 74 của Nghị định này.","Đối với gói thầu tư vấn cá nhân có giá gói thầu trên 200 triệu đồng, việc lựa chọn nhà thầu được thực hiện theo quy trình nào theo Nghị định hướng dẫn Luật Đấu thầu số 22?",quy trình thông thường quy định tại Điều 73 và Điều 74 của Nghị định này
"Luật Đấu thầu số 22/2023/QH15 Điều 39. Nội dung kế hoạch lựa chọn nhà thầu khoản 4 . Hình thức và phương thức lựa chọn nhà thầu:  Đối với mỗi gói thầu phải xác định cụ thể hình thức và phương thức lựa chọn nhà thầu; lựa chọn nhà thầu trong nước hoặc quốc tế; áp dụng hoặc không áp dụng lựa chọn nhà thầu qua mạng;  Đối với dự án áp dụng kế hoạch tổng thể lựa chọn nhà thầu, ghi theo nội dung phù hợp với kế hoạch tổng thể lựa chọn nhà thầu.","Câu hỏi: Theo nội dung của Luật Đấu thầu số 22/2023/QH15, những thông tin nào phải được xác định cụ thể trong kế hoạch lựa chọn nhà thầu?",Hình thức và phương thức lựa chọn nhà thầu
"Luật Đấu thầu số 22/2023/QH15 Điều 70. Sửa đổi hợp đồng khoản 5 . Các bên không phải ký kết văn bản sửa đổi hợp đồng đối với trường hợp thay đổi giá hợp đồng, khối lượng và nội dung khác đã được quy định trong hợp đồng khi đáp ứng đủ các điều kiện sau đây:  Không vượt giá gói thầu ghi trong kế hoạch lựa chọn nhà thầu; trường hợp dự toán gói thầu được phê duyệt sau khi có kế hoạch lựa chọn nhà thầu thì không vượt dự toán gói thầu;  Không vượt thời gian thực hiện gói thầu ghi trong hợp đồng;  Phương pháp, công thức, hạng mục và các nội dung cần thiết để điều chỉnh đã quy định trong hợp đồng.",Các bên không phải ký kết văn bản sửa đổi hợp đồng đối với trường hợp nào?,"thay đổi giá hợp đồng, khối lượng và nội dung khác đã được quy định trong hợp đồng"
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 12. Chi phí trong lựa chọn nhà thầu khoản 10 . Đối với kiến nghị về kết quả lựa chọn nhà thầu, Hội đồng tư vấn khoán chi cho các thành viên Hội đồng tư vấn, bộ phận thường trực giúp việc của Hội đồng tư vấn và các chi phí khác để thực hiện việc tư vấn giải quyết kiến nghị. Trường hợp trong quá trình kiến nghị, nhà thầu rút đơn kiến nghị thì chỉ được nhận lại 50% chi phí đã nộp trong trường hợp chưa thành lập Hội đồng tư vấn hoặc đã thành lập Hội đồng tư vấn nhưng chưa tổ chức họp hội đồng; trường hợp Hội đồng tư vấn đã tổ chức họp hội đồng thì nhà thầu không được hoàn trả chi phí giải quyết kiến nghị.",Tỷ lệ chi phí mà nhà thầu được hoàn trả khi rút đơn kiến nghị trong trường hợp chưa thành lập Hội đồng tư vấn hoặc đã thành lập Hội đồng tư vấn nhưng chưa tổ chức họp hội đồng là bao nhiêu?,50%
"Luật Đấu thầu số 22/2023/QH15 Điều 77. Trách nhiệm của người có thẩm quyền khoản 9 . Đối với lựa chọn nhà đầu tư, ngoài trách nhiệm quy định tại các khoản 4, 5, 6 và 7 Điều này, người có thẩm quyền còn có trách nhiệm sau đây:  Đại diện cơ quan có thẩm quyền quyết định tổ chức đấu thầu lựa chọn nhà đầu tư;  Quyết định giao đơn vị có nhân sự đáp ứng yêu cầu thực hiện công tác lựa chọn nhà đầu tư làm bên mời thầu; trường hợp nhân sự không đáp ứng yêu cầu thì lựa chọn nhà thầu tư vấn đề thực hiện một số nhiệm vụ của bên mời thầu;  Phê duyệt hồ sơ mời quan tâm; phê duyệt hồ sơ mời thầu hoặc ủy quyền phê duyệt hồ sơ mời thầu;  Phê duyệt kết quả mời quan tâm, kết quả lựa chọn nhà đầu tư;  Quyết định xử lý tình huống trong đấu thầu;  Ký kết hợp đồng trên cơ sở chấp thuận của cơ quan có thẩm quyền; tổ chức quản lý hợp đồng với nhà đầu tư được lựa chọn;  Yêu cầu bên mời thầu cung cấp hồ sơ, tài liệu để phục vụ công tác kiểm tra, giám sát, giải quyết kiến nghị, xử lý vi phạm pháp luật về đấu thầu và công việc quy định tại khoản 4, khoản 5 Điều này.",Người có thẩm quyền theo Điều 77 khoản 9 của Luật Đấu thầu số 22/2023/QH15 có trách nhiệm gì?,Đại diện cơ quan có thẩm quyền quyết định tổ chức đấu thầu lựa chọn nhà đầu tư
"Luật Đấu thầu số 22/2023/QH15 Điều 3. Áp dụng Luật Đấu thầu, pháp luật có liên quan và điều ước quốc tế, thỏa thuận về vốn hỗ trợ phát triển chính thức, vốn vay ưu đãi của nhà tài trợ nước ngoài khoản 1 . Hoạt động đấu thầu thuộc phạm vi điều chỉnh của Luật này phải tuân thủ quy định của Luật này và quy định khác của pháp luật có liên quan. Trường hợp có quy định khác nhau về đấu thầu giữa Luật này và luật khác được ban hành trước ngày Luật này có hiệu lực thi hành thì thực hiện theo quy định của Luật này, trừ trường hợp quy định tại các khoản 2, 3, 4, 5, 6 và 7 Điều này.",Trường hợp có quy định khác nhau về đấu thầu giữa Luật này và luật khác được ban hành trước ngày Luật này có hiệu lực thi hành luật này như thế nào theo Luật Đấu thầu số 22/2023/QH15 Điều 3?,"có hiệu lực thi hành thì thực hiện theo quy định của Luật này, trừ trường hợp quy định tại các khoản 2, 3, 4, 5, 6 và 7 Điều này"
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 11. Đấu thầu bền vững Căn cứ tính chất gói thầu, chủ đầu tư đưa ra các yêu cầu về đấu thầu bền vững trong hồ sơ mời thầu theo một hoặc các cách thức sau: 1. Đưa ra yêu cầu về kỹ thuật trong hồ sơ mời thầu, hồ sơ yêu cầu theo phương pháp chấm điểm hoặc phương pháp đạt, không đạt. Nhà thầu chào giải pháp, hàng hoá, dịch vụ đáp ứng yêu cầu về đấu thầu bền vững được tiếp tục xem xét, đánh giá; 2. Đưa vào công thức xác định giá đánh giá, trong đó lượng hóa các yếu tố đấu thầu bền vững vào công thức xác định giá đánh giá để so sánh, xếp hạng nhà thầu.",Căn cứ nào để chủ đầu tư đưa ra các yêu cầu về đấu thầu bền vững?,"tính chất gói thầu, chủ đầu tư"
"Luật Đấu thầu số 22/2023/QH15 Điều 70. Sửa đổi hợp đồng khoản 2 . Nội dung sửa đổi hợp đồng có thể bao gồm: khối lượng, tiến độ, giá, áp dụng tùy chọn mua thêm và các nội dung khác do các bên thỏa thuận trong hợp đồng đã ký kết, trừ trường hợp quy định tại khoản 5 Điều này. Đối với việc sửa đổi về tiến độ, khối lượng, giá chỉ áp dụng trong thời gian thực hiện gói thầu ghi trong hợp đồng, trừ trường hợp áp dụng tùy chọn mua thêm.","Nội dung sửa đổi hợp đồng theo Điều 70, khoản 2 của Luật Đấu thầu số 22/2023/QH15 bao gồm những gì?","khối lượng, tiến độ, giá, áp dụng tùy chọn mua thêm và các nội dung khác do các bên thỏa thuận trong hợp đồng đã ký kết"
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 55. Chuẩn bị, tổ chức đấu thầu giai đoạn hai khoản 2 . Lập hồ sơ mời thầu giai đoạn hai:  Căn cứ lập hồ sơ mời thầu: Ngoài các căn cứ quy định tại khoản 1 và khoản 2 Điều 25 của Nghị định này, hồ sơ mời thầu giai đoạn hai phải căn cứ vào nội dung đã được chủ đầu tư quyết định điều chỉnh, bổ sung về chỉ dẫn nhà thầu, tiêu chuẩn đánh giá, yêu cầu kỹ thuật, điều kiện hợp đồng và các nội dung khác của hồ sơ mời thầu giai đoạn một;  Nội dung hồ sơ mời thầu: Hồ sơ mời thầu bao gồm các nội dung sau: chỉ dẫn nhà thầu, tùy chọn mua thêm (nếu có); bảng dữ liệu đấu thầu; tiêu chuẩn đánh giá về tính hợp lệ của hồ sơ dự thầu; năng lực, kinh nghiệm của nhà thầu; kỹ thuật; tài chính, thương mại; thông tin về kết quả thực hiện hợp đồng của nhà thầu và chất lượng hàng hóa tương tự đã sử dụng; biểu mẫu mời thầu và dự thầu; phạm vi cung cấp, yêu cầu về kỹ thuật; điều kiện và biểu mẫu hợp đồng; các hồ sơ, bản vẽ và nội dung khác (nếu có).",Hồ sơ mời thầu giai đoạn 2 bao gồm nội dung gì?,bảng dữ liệu đấu thầu
Luật Đấu thầu số 22/2023/QH15 Điều 31. Phương thức một giai đoạn hai túi hồ sơ khoản 2 . Nhà thầu nộp đồng thời hồ sơ đề xuất về kỹ thuật và hồ sơ đề xuất về tài chính riêng biệt theo yêu cầu của hồ sơ mời thầu.,Nhà thầu nộp đồng thời hồ sơ đề xuất về kỹ thuật và hồ sơ đề xuất về tài chính riêng biệt theo yêu cầu nào?,yêu cầu của hồ sơ mời thầu
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 45. Thương thảo hợp đồng; trình, thẩm định, phê duyệt, công khai kết quả lựa chọn nhà thầu, hoàn thiện, ký kết và quản lý thực hiện hợp đồng khoản 2 . Việc thương thảo hợp đồng (nếu có) thực hiện theo quy định tại Điều 32 của Nghị định này.",Quy định về việc thương thảo hợp đồng (nếu có) được ghi tại Điều nào của Nghị định hướng dẫn Luật Đấu thầu số 22 ?,Điều 32
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 25. Lập hồ sơ mời thầu khoản 12 . Hồ sơ mời thầu không được đưa ra yêu cầu về cung cấp giấy phép bán hàng, giấy ủy quyền bán hàng của nhà sản xuất hoặc của đại lý phân phối hoặc giấy chứng nhận quan hệ đối tác hoặc giấy cam kết hỗ trợ kỹ thuật, bảo hành của nhà sản xuất hoặc của đại lý phân phối hoặc tài liệu khác có giá trị tương đương (sau đây gọi là giấy phép bán hàng).",Nội dung nào của Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 25. Lập hồ sơ mời thầu quy định không được đưa ra yêu cầu về giấy phép bán hàng?,khoản 12
"Luật Đấu thầu số 22/2023/QH15 Điều 85. Trách nhiệm của Bộ, cơ quan ngang Bộ và Ủy ban nhân dân các cấp khoản 2 . Tổ chức bồi dưỡng kiến thức, nghiệp vụ chuyên môn về đấu thầu cho cán bộ, công chức, viên chức làm công tác đấu thầu.","Trách nhiệm của Bộ, cơ quan ngang Bộ và Ủy ban nhân dân các cấp khoản 2 Luật Đấu thầu số 22/2023/QH15 Điều 85 là gì?","bồi dưỡng kiến thức, nghiệp vụ chuyên môn về đấu thầu"
"Luật Đấu thầu số 22/2023/QH15 Điều 4. Giải thích từ ngữ khoản 29 . Nhà thầu nước ngoài, nhà đầu tư nước ngoài là tổ chức được thành lập theo pháp luật nước ngoài hoặc cá nhân có quốc tịch nước ngoài tham dự thầu.","Câu hỏi: Theo Điều 4 Luật Đấu thầu số 22/2023/QH15, định nghĩa của ""Nhà thầu nước ngoài, nhà đầu tư nước ngoài"" là gì?",tổ chức được thành lập theo pháp luật nước ngoài hoặc cá nhân có quốc tịch nước ngoài tham dự thầu
"Luật Đấu thầu số 22/2023/QH15 Điều 4. Giải thích từ ngữ khoản 3 . Danh sách ngắn là danh sách nhà thầu trúng sơ tuyển đối với đấu thầu rộng rãi có sơ tuyển; danh sách nhà thầu, nhà đầu tư được mời tham dự thầu đối với đấu thầu hạn chế; danh sách nhà thầu có hồ sơ quan tâm đáp ứng yêu cầu của hồ sơ mời quan tâm.","Trong đấu thầu hạn chế, ""Danh sách ngắn"" là danh sách nào?","danh sách nhà thầu, nhà đầu tư được mời tham dự thầu"
Luật Đấu thầu số 22/2023/QH15 Điều 79. Trách nhiệm của bên mời thầu khoản 4 . Thực hiện trách nhiệm khác theo quy định của Luật này và quy định khác của pháp luật có liên quan.,"Theo Điều 79 của Luật Đấu thầu số 22/2023/QH15, bên mời thầu có trách nhiệm thực hiện những trách nhiệm nào ngoài trách nhiệm được nêu trong đoạn trích?",trách nhiệm khác theo quy định của Luật này và quy định khác của pháp luật có liên quan
"Luật Đấu thầu số 22/2023/QH15 Điều 4. Giải thích từ ngữ khoản 17 . Hàng hóa gồm máy móc, thiết bị, nguyên liệu, nhiên liệu, vật liệu, vật tư, phụ tùng; sản phẩm; phương tiện; hàng tiêu dùng; thuốc, hóa chất, vật tư xét nghiệm, thiết bị y tế; phần mềm thương mại.",Hàng hóa được Luật Đấu thầu số 22/2023/QH15 Điều 4 giải thích như thế nào?,"Hàng hóa gồm máy móc, thiết bị, nguyên liệu, nhiên liệu, vật liệu, vật tư, phụ tùng; sản phẩm; phương tiện; hàng tiêu dùng; thuốc, hóa chất, vật tư xét nghiệm, thiết bị y tế; phần mềm thương mại"
Luật Đấu thầu số 22/2023/QH15 Điều 70. Sửa đổi hợp đồng khoản 6 . Chính phủ quy định chi tiết Điều này.,Chính phủ có hành động gì theo Luật Đấu thầu số 22/2023/QH15 Điều 70?,quy định chi tiết Điều này
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 78. Quy trình chỉ định thầu thông thường áp dụng trong trường hợp chủ đầu tư gửi hồ sơ yêu cầu cho nhiều hơn một nhà thầu khoản 5 . Thương thảo hợp đồng (nếu có): Trường hợp áp dụng thương thảo hợp đồng, bên mời thầu mời nhà thầu xếp thứ nhất đến thương thảo hợp đồng. Trong quá trình thương thảo, bên mời thầu có thể yêu cầu nhà thầu làm rõ hoặc sửa đổi, bổ sung nội dung hồ sơ đề xuất để chứng minh việc đáp ứng yêu cầu về năng lực, kinh nghiệm, tiến độ, khối lượng, chất lượng, giải pháp kỹ thuật và biện pháp tổ chức thực hiện gói thầu. Trường hợp thương thảo không thành công, bên mời thầu báo cáo chủ đầu tư xem xét, quyết định mời nhà thầu xếp hạng tiếp theo vào thương thảo.","Trong quá trình thương thảo, bên mời thầu có thể yêu cầu nhà thầu làm gì?","làm rõ hoặc sửa đổi, bổ sung nội dung hồ sơ đề xuất để chứng minh việc đáp ứng yêu cầu về năng lực, kinh nghiệm, tiến độ, khối lượng, chất lượng, giải pháp kỹ thuật và biện pháp tổ chức thực hiện gói thầu"
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 67. Sửa lỗi và hiệu chỉnh sai lệch khoản 2 . Đối với hợp đồng theo thời gian:  Trường hợp tổng giá trị của các hạng mục không chính xác do lỗi trong khi cộng trừ giá trị của các hạng mục thì giá trị của các hạng mục là cơ sở để sửa lỗi;  Trường hợp có lỗi trong khi cộng trừ các giá trị ở cột thành tiền để tính toán giá dự thầu thì các giá trị ở cột thành tiền là cơ sở cho việc sửa lỗi;  Trường hợp không nhất quán giữa đơn giá và thành tiền thì lấy đơn giá làm cơ sở cho việc sửa lỗi. Trường hợp có sự không nhất quán giữa giá dự thầu ghi bằng số và giá dự thầu ghi bằng chữ thì giá dự thầu ghi bằng chữ là cơ sở để sửa lỗi; trường hợp giá dự thầu ghi bằng chữ có sai sót về lỗi số học thì giá ghi bằng số là cơ sở để sửa lỗi sau khi được chuẩn xác (nếu có) theo điểm a và điểm b khoản này;  Trường hợp có sự khác biệt giữa đề xuất về kỹ thuật và đề xuất về tài chính về số lượng nhân sự tham gia thực hiện gói thầu, số ngày công, số lượng trong từng hạng mục chi phí ngoài lương, số lượng trong các yếu tố đầu vào đã chào trong đề xuất kỹ thuật và đề xuất tài chính khác thì nội dung thuộc đề xuất về kỹ thuật là cơ sở để sửa lỗi, hiệu chỉnh sai lệch. Việc hiệu chỉnh sai lệch trong trường hợp này được thực hiện theo số lượng, khối lượng nêu trong đề xuất kỹ thuật với đơn giá nêu trong đề xuất tài chính.",Trường hợp có lỗi trong khi cộng trừ các giá trị ở cột thành tiền để tính toán giá dự thầu thì như thế nào?,các giá trị ở cột thành tiền là cơ sở cho việc sửa lỗi
"Luật Đấu thầu số 22/2023/QH15 Điều 46. Quy trình, thủ tục lựa chọn nhà đầu tư khoản 2 . Trường hợp pháp luật về đất đai, pháp luật về quản lý ngành, lĩnh vực quy định phải đấu thầu lựa chọn nhà đầu tư khi có từ 02 nhà đầu tư trở lên quan tâm, ngoài các bước quy định tại khoản 1 Điều này, cơ quan có thẩm quyền lập hồ sơ mời quan tâm, thông báo mời quan tâm, tổ chức đánh giá hồ sơ đăng ký thực hiện dự án và phê duyệt kết quả mời quan tâm trước khi thực hiện bước chuẩn bị đấu thầu lựa chọn nhà đầu tư quy định tại điểm b khoản 1 Điều này.",Trong trường hợp nào thì cần tổ chức đấu thầu lựa chọn nhà đầu tư?,"pháp luật về đất đai, pháp luật về quản lý ngành, lĩnh vực quy định"
"Luật Đấu thầu số 22/2023/QH15 Điều 24. Chào hàng cạnh tranh khoản 1 . Gói thầu dịch vụ phi tư vấn thông dụng, đơn giản;",Luật Đấu thầu số 22/2023/QH15 Điều 24 quy định nội dung gì?,Chào hàng cạnh tranh
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 118. Nguyên tắc tổ chức kiểm tra khoản 2 . Công tâm, khách quan, không gây khó khăn cho đơn vị được kiểm tra; tuân thủ các quy định về phòng, chống tham nhũng.",Nguyên tắc tổ chức kiểm tra trong Nghị định hướng dẫn Luật Đấu thầu số 22 là gì?,"Công tâm, khách quan, không gây khó khăn cho đơn vị được kiểm tra; tuân thủ các quy định về phòng, chống tham nhũng"
Luật Đấu thầu số 22/2023/QH15 Điều 91. Quy trình giải quyết kiến nghị về lựa chọn nhà thầu khoản 2 . Việc giải quyết kiến nghị sau khi có thông báo kết quả lựa chọn nhà thầu được thực hiện theo một trong hai quy trình sau đây:  Nhà thầu gửi đơn kiến nghị đến chủ đầu tư trong thời hạn 10 ngày kể từ ngày kết quả lựa chọn nhà thầu được đăng tải trên Hệ thống mạng đấu thầu quốc gia. Chủ đầu tư phải có văn bản giải quyết kiến nghị gửi nhà thầu trong thời hạn 07 ngày làm việc kể từ ngày nhận được đơn kiến nghị của nhà thầu. Trường hợp nhà thầu không đồng ý với kết quả giải quyết kiến nghị hoặc quá thời hạn quy định tại khoản này mà chủ đầu tư không có văn bản giải quyết kiến nghị thì nhà thầu có quyền gửi đơn kiến nghị đến người có thẩm quyền thông qua bộ phận thường trực trong thời hạn 05 ngày làm việc kể từ ngày hết hạn giải quyết kiến nghị hoặc ngày nhận được văn bản giải quyết kiến nghị của chủ đầu tư. Người có thẩm quyền ban hành quyết định giải quyết kiến nghị về kết quả lựa chọn nhà thầu trong thời hạn 05 ngày làm việc kể từ ngày nhận được ý kiến bằng văn bản của Hội đồng tư vấn giải quyết kiến nghị;  Nhà thầu gửi đơn kiến nghị đến người có thẩm quyền thông qua bộ phận thường trực trong thời hạn 10 ngày kể từ ngày kết quả lựa chọn nhà thầu được đăng tải trên Hệ thống mạng đấu thầu quốc gia. Người có thẩm quyền ban hành quyết định giải quyết kiến nghị về kết quả lựa chọn nhà thầu trong thời hạn 05 ngày làm việc kể từ ngày nhận được ý kiến bằng văn bản của Hội đồng tư vấn giải quyết kiến nghị.,Thời hạn chủ đầu tư phải có văn bản giải quyết kiến nghị gửi nhà thầu sau khi nhận được đơn kiến nghị là bao lâu?,07 ngày
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 51. Thương thảo hợp đồng, trình, thẩm định, phê duyệt, công khai kết quả lựa chọn nhà thầu, hoàn thiện, ký kết và quản lý thực hiện hợp đồng khoản 1 . Nhà thầu xếp hạng thứ nhất được bên mời thầu mời đến thương thảo hợp đồng.","Thương thảo hợp đồng, trình, thẩm định, phê duyệt, công khai kết quả lựa chọn nhà thầu, hoàn thiện, ký kết và quản lý thực hiện hợp đồng được quy định tại điều nào của Nghị định hướng dẫn Luật Đấu thầu số 22?",Điều 51
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 132. Xử lý tình huống trong đấu thầu qua mạng và không qua mạng khoản 17 . Trường hợp giá đề nghị trúng thầu thấp dưới 50% giá gói thầu được duyệt thì chủ đầu tư yêu cầu nhà thầu làm rõ các yếu tố cấu thành chi phí chào thầu, xem xét các bằng chứng liên quan theo hướng sau đây:  Các yếu tố kinh tế liên quan đến biện pháp thi công, quy trình sản xuất hoặc cung cấp dịch vụ;  Giải pháp kinh tế được áp dụng hoặc các lợi thế đặc biệt của nhà thầu dẫn đến lợi thế về giá cả;  Nguồn gốc của hàng hóa, dịch vụ, nhân sự cung cấp cho gói thầu, trong đó phải bảo đảm tuân thủ các quy định của pháp luật; Trường hợp thỏa mãn được các điều kiện quy định tại các điểm a, b và c khoản này thì hồ sơ dự thầu, hồ sơ đề xuất của nhà thầu vẫn được chấp nhận trúng thầu. Trường hợp để đề phòng rủi ro, chủ đầu tư có thể quy định giá trị bảo đảm thực hiện hợp đồng lớn hơn 10% nhưng không quá 30% giá hợp đồng và phải được người có thẩm quyền chấp thuận bằng văn bản. Nhà thầu nhận được sự trợ cấp của bất kỳ tổ chức, cá nhân nào dẫn đến sự cạnh tranh không bình đẳng thì hồ sơ dự thầu, hồ sơ đề xuất của nhà thầu sẽ bị loại.",Nghị định nào quy định về việc xử lý tình huống trong đấu thầu qua mạng và không qua mạng?,Nghị định hướng dẫn Luật Đấu thầu số 22
"Luật Đấu thầu số 22/2023/QH15 Điều 56. Ưu đãi trong mua thuốc khoản 1 . Việc ưu đãi trong mua thuốc thực hiện theo quy định tại Điều 10 của Luật này và quy định sau đây:  Đối với thuốc có ít nhất 03 hãng trong nước sản xuất đáp ứng về tiêu chí kỹ thuật theo quy định của Bộ Y tế và về chất lượng, giá thì chủ đầu tư quyết định việc yêu cầu nhà thầu chào thuốc xuất xứ trong nước đối với mặt hàng này.  Đối với thuốc được Bộ Y tế công bố có ít nhất 03 hãng trong nước sản xuất trên dây chuyền sản xuất thuốc đáp ứng nguyên tắc, tiêu chuẩn EUGMP hoặc tương đương EUGMP và đáp ứng tiêu chí kỹ thuật theo quy định của Bộ Y tế và về chất lượng, giá, khả năng cung cấp thì trong hồ sơ mời thầu, hồ sơ yêu cầu phải quy định nhà thầu chỉ chào thầu thuốc xuất xứ trong nước.",Việc ưu đãi trong mua thuốc thực hiện theo quy định tại điều nào của Luật Đấu thầu số 22/2023/QH15?,Điều 10 của Luật này
